payment_type,payment_installments,seller_city,seller_state,review_score,order_status,product_category_name_english,customer_city,customer_state,order_purchase_year,order_purchase_mon,expected_vs_shipdate
credit_card,5,guariba,SP,5,delivered,watches_gifts,rio de janeiro,RJ,2018,Feb,-1
credit_card,5,valinhos,SP,5,delivered,diapers_and_hygiene,saquarema,RJ,2018,Jun,21
credit_card,2,sao paulo,SP,5,delivered,home_construction,sao jose do rio preto,SP,2018,Apr,15
credit_card,3,santa barbara d´oeste,SP,5,delivered,luggage_accessories,americana,SP,2017,May,8
credit_card,2,sao paulo,SP,5,delivered,small_appliances,caieiras,SP,2017,Aug,11
credit_card,2,ilicinea,MG,5,delivered,computers_accessories,itajuba,MG,2018,Jan,14
credit_card,3,osasco,SP,1,delivered,bed_bath_table,rio do sul,SC,2018,Apr,-15
credit_card,1,sao paulo,SP,5,delivered,telephony,rio de janeiro,RJ,2018,Jun,30
credit_card,2,curitiba,PR,5,delivered,sports_leisure,maceio,AL,2017,Aug,20
boleto,1,rio de janeiro,RJ,5,delivered,toys,cajamar,SP,2017,Nov,12
credit_card,8,louveira,SP,5,delivered,housewares,porto alegre,RS,2017,Jun,10
credit_card,2,praia grande,SP,5,delivered,sports_leisure,florianopolis,SC,2017,Oct,22
credit_card,3,arapongas,PR,5,delivered,baby,jaboatao dos guararapes,PE,2017,Nov,15
credit_card,1,praia grande,SP,5,delivered,home_appliances,nova veneza,GO,2018,Jun,29
credit_card,8,borda da mata,MG,5,delivered,luggage_accessories,campinas,SP,2017,Aug,18
credit_card,8,borda da mata,MG,5,delivered,luggage_accessories,campinas,SP,2017,Aug,18
credit_card,3,sao paulo,SP,5,delivered,home_construction,salvador,BA,2018,May,21
boleto,1,brasilia,DF,4,delivered,computers_accessories,cosmopolis,SP,2017,Mar,21
credit_card,1,penapolis,SP,5,delivered,auto,agua santa,RS,2017,Jul,14
credit_card,1,petropolis,RJ,1,delivered,health_beauty,santa cruz do sul,RS,2018,Mar,-11
credit_card,2,sao paulo,SP,4,delivered,watches_gifts,rio verde,GO,2017,Jul,9
credit_card,1,osasco,SP,5,delivered,auto,sao paulo,SP,2018,Jan,12
credit_card,1,sao paulo,SP,5,delivered,stationery,cotia,SP,2018,Jun,7
credit_card,8,macae,RJ,4,delivered,toys,sao paulo,SP,2018,Mar,15
credit_card,4,sao paulo,SP,5,delivered,cool_stuff,brasilia,DF,2018,Apr,12
credit_card,2,sao paulo,SP,4,delivered,telephony,sumare,SP,2017,Apr,7
boleto,1,patos de minas,MG,5,delivered,pet_shop,nilopolis,RJ,2017,May,10
credit_card,1,sao paulo,SP,4,delivered,toys,brasilia,DF,2017,May,20
credit_card,10,pitanga,PR,4,delivered,drinks,belo horizonte,MG,2018,Aug,5
credit_card,5,sao paulo,SP,4,delivered,watches_gifts,sao paulo,SP,2018,Apr,14
credit_card,2,salto,SP,2,delivered,art,osasco,SP,2018,Mar,3
credit_card,2,lages - sc,SC,3,delivered,kitchen_dining_laundry_garden_furniture,sinop,MT,2017,Oct,15
credit_card,3,sao jose dos campos,SP,1,delivered,computers_accessories,brasilia,DF,2018,Feb,-7
credit_card,3,maringa,PR,1,delivered,computers_accessories,brasilia,DF,2018,Feb,10
credit_card,1,londrina,PR,3,delivered,sports_leisure,cuiaba,MT,2017,Nov,0
credit_card,1,cotia,SP,4,delivered,auto,betim,MG,2018,Aug,41
credit_card,1,sao paulo,SP,5,delivered,electronics,sao paulo,SP,2018,May,5
credit_card,2,sao paulo,SP,4,delivered,furniture_decor,jequitinhonha,MG,2018,Feb,8
credit_card,3,sao paulo,SP,3,delivered,baby,tres rios,RJ,2018,Jun,28
credit_card,2,belo horizonte,SP,5,delivered,perfumery,varginha,MG,2018,May,16
credit_card,2,patos de minas,MG,5,delivered,pet_shop,duque de caxias,RJ,2018,Apr,6
credit_card,1,itapecerica da serra,SP,5,delivered,telephony,coracao de jesus,MG,2017,Sep,14
credit_card,2,campo largo,PR,4,delivered,sports_leisure,iguape,SP,2017,Dec,15
boleto,1,santa barbara d'oeste,SP,4,delivered,garden_tools,belem,PA,2017,Jan,35
credit_card,4,sao paulo,SP,5,delivered,cool_stuff,palhoca,SC,2018,Feb,4
credit_card,3,piracicaba,SP,5,delivered,bed_bath_table,igrejinha,RS,2018,Jul,18
credit_card,5,pocos de caldas,MG,4,delivered,drinks,pocos de caldas,MG,2017,Jul,8
credit_card,5,pocos de caldas,MG,4,delivered,drinks,pocos de caldas,MG,2017,Jul,8
boleto,1,hortolandia,SP,5,delivered,health_beauty,sao paulo,SP,2018,Jun,6
credit_card,5,sao paulo,SP,5,delivered,cool_stuff,guarapari,ES,2017,Nov,11
